
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PS,WD10M,PRECTOTCORR
2015,1,7,23,0.0,25.27,80.7,4.88,100.74,128.4,0.59
2015,1,8,0,0.0,25.11,81.45,4.79,100.65,128.9,0.46
2015,1,8,1,0.0,25.02,81.45,4.72,100.6,127.3,0.45
2015,1,8,2,0.0,24.94,80.72,4.61,100.58,125.3,0.28
2015,1,8,3,0.0,24.85,79.55,4.48,100.59,123.0,0.19
2015,1,8,4,0.0,24.77,78.03,4.52,100.63,120.8,0.12
2015,1,8,5,0.0,24.68,76.72,4.64,100.7,118.6,0.03
2015,1,8,6,37.95,25.31,72.5,5.24,100.76,116.8,0.07
2015,1,8,7,236.98,26.82,64.68,6.64,100.82,115.4,0.11
2015,1,8,8,480.85,28.1,58.57,7.12,100.85,114.2,0.06
2015,1,8,9,672.83,29.31,54.02,7.23,100.85,113.5,0.07
2015,1,8,10,819.65,30.26,50.91,7.28,100.84,113.4,0.14
2015,1,8,11,908.22,30.99,48.21,7.32,100.8,113.2,0.1
2015,1,8,12,930.17,31.27,47.28,7.47,100.74,113.4,0.09
2015,1,8,13,889.38,31.17,47.63,7.58,100.67,114.7,0.13
2015,1,8,14,775.15,30.74,49.1,7.72,100.61,117.0,0.1
2015,1,8,15,592.5,30.11,51.59,7.93,100.58,119.2,0.08
2015,1,8,16,380.02,29.15,55.43,8.05,100.58,120.8,0.08
2015,1,8,17,165.82,27.91,60.73,7.92,100.63,122.4,0.07
2015,1,8,18,17.98,26.69,66.77,7.26,100.68,123.9,0.07
2015,1,8,19,0.0,26.17,70.42,6.47,100.73,125.6,0.06
2015,1,8,20,0.0,25.92,72.22,5.76,100.77,128.2,0.13
2015,1,8,21,0.0,25.72,73.49,5.15,100.82,130.1,0.12
2015,1,8,22,0.0,25.61,74.27,4.7,100.82,130.5,0.21
2015,1,8,23,0.0,25.41,75.31,4.38,100.77,130.6,0.2
2015,1,9,0,0.0,25.27,76.22,4.11,100.68,131.3,0.25
2015,1,9,1,0.0,25.1,77.48,4.02,100.6,130.7,0.22
2015,1,9,2,0.0,24.86,79.44,3.97,100.58,129.2,0.21
2015,1,9,3,0.0,24.68,81.53,3.96,100.58,127.3,0.29
2015,1,9,4,0.0,24.56,83.06,4.09,100.61,124.3,0.33
2015,1,9,5,0.0,24.5,84.34,4.32,100.67,121.9,0.32
2015,1,9,6,35.2,25.05,81.91,5.06,100.73,119.8,0.39
2015,1,9,7,226.52,26.52,72.84,6.54,100.79,117.9,0.38
2015,1,9,8,458.33,28.17,62.98,7.26,100.82,117.0,0.41
2015,1,9,9,651.33,29.42,57.26,7.45,100.82,117.3,0.35
2015,1,9,10,792.55,30.46,53.45,7.54,100.79,117.8,0.02
2015,1,9,11,890.03,31.16,51.13,7.64,100.75,118.4,0.01
2015,1,9,12,879.15,31.49,50.18,7.76,100.69,119.2,0.02
2015,1,9,13,886.05,31.53,49.94,7.82,100.63,120.4,0.0
2015,1,9,14,794.45,31.26,50.27,7.8,100.59,121.9,0.0
2015,1,9,15,624.3,30.7,51.38,7.77,100.56,123.7,0.01
2015,1,9,16,409.58,29.75,54.38,7.78,100.57,125.4,0.0
2015,1,9,17,180.98,28.5,59.01,7.67,100.62,127.7,0.01
2015,1,9,18,17.08,27.1,65.49,7.2,100.69,129.8,0.01
2015,1,9,19,0.0,26.38,70.16,6.79,100.73,131.5,0.01
2015,1,9,20,0.0,25.98,72.91,6.42,100.77,134.2,0.02
2015,1,9,21,0.0,25.67,75.07,5.98,100.82,137.0,0.02
2015,1,9,22,0.0,25.34,77.15,5.55,100.83,139.5,0.06
2015,1,9,23,0.0,25.13,78.49,5.4,100.8,141.9,0.1
2015,1,10,0,0.0,25.07,79.01,5.44,100.72,144.1,0.12
2015,1,10,1,0.0,24.91,80.23,5.24,100.66,145.7,0.15
2015,1,10,2,0.0,24.77,80.62,5.15,100.63,145.0,0.13
2015,1,10,3,0.0,24.69,81.46,5.05,100.62,143.9,0.16
2015,1,10,4,0.0,24.51,83.39,4.81,100.64,142.8,0.23
2015,1,10,5,0.0,24.35,85.27,4.7,100.69,140.6,0.27
